angle;steering;sonarAngle;fronDistance;leftDistance;rightDistance,distance;fullDistance
0;-2,138961038961039;0,8;88,5;66,00000000000001;24,3;62,12150590551181;62,12150590551181
0;-2,138961038961039;0,0;88,5;42,0;24,3;62,52332677165354;62,52332677165354
-1;-2,138961038961039;-1,0;88,5;42,0;24,9;63,00551181102362;63,00551181102362
-1;-2,138961038961039;0,4;86,09999999999999;42,0;24,9;64,05024606299212;64,05024606299212
-1;-2,138961038961039;2,0;86,09999999999999;66,00000000000001;24,9;65,01461614173228;65,01461614173228
-1;-2,138961038961039;1,0;86,09999999999999;66,00000000000001;24,2;66,30044291338582;66,30044291338582
-2;-2,138961038961039;0,0;83,40000000000002;66,00000000000001;24,2;67,18444881889764;67,18444881889764
-2;-2,138961038961039;0,2;83,40000000000002;32,6;24,2;67,58626968503937;67,58626968503937
-2;-2,138961038961039;1,2;83,40000000000002;32,6;26,9;68,1488188976378;68,1488188976378
-2;-2,138961038961039;2,8;81,0;32,6;26,9;68,55063976377953;68,55063976377953
-2;-2,138961038961039;3,8;81,0;65,3;26,9;69,0328248031496;69,0328248031496
-2;-2,138961038961039;3,8;81,0;65,3;32,6;69,59537401574803;69,59537401574803
-2;-2,138961038961039;2,8;80,20000000000001;65,3;32,6;70,07755905511811;70,07755905511811
-2;-2,138961038961039;1,6;80,20000000000001;65,3;32,6;70,55974409448819;70,55974409448819
-2;-2,138961038961039;0,6;80,20000000000001;65,3;26,7;71,04192913385827;71,04192913385827
-2;-2,138961038961039;1,0;78,40000000000001;65,3;26,7;71,44375;71,44375
-3;-2,138961038961039;2,4;78,40000000000001;65,8;26,7;71,84557086614173;71,84557086614173
-3;-2,138961038961039;3,4;78,40000000000001;65,8;28,1;72,32775590551181;72,32775590551181
-3;-2,138961038961039;3,8;77,20000000000001;65,8;28,1;72,80994094488189;72,80994094488189
-3;-1,938961038961039;2,4;77,20000000000001;65,3;28,1;73,45285433070867;73,45285433070867
-3;-0,938961038961039;1,6;77,20000000000001;65,3;32,1;73,77431102362205;73,77431102362205
-3;-0,3389610389610389;2,2;75,40000000000001;65,3;32,1;74,25649606299212;74,25649606299212
